,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,popfin,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery,Adaptability,adaptier,adaptiernum,Vulnerability,vultier,vultiernum,index
1484,"Ray, MO",29177,23354,23427,23538,23703,23739,23605,23842,23712,23764,23541,23667,23542,23422,23290,23166.0,23031.0,22921.0,22859.0,22825.0,22875.0,22900.0,23080.0,29177,0.1536,5.530073202975184,-0.005281615751890819,-0.13926222894534623,-0.6261050653694505,-0.44257193888640933,-0.3033097099410631,Low,1,0.4868428364241043,Extremely High,4,1
1485,"Ripley, MO",29181,13509,13460,13608,13752,13843,13920,14049,14059,14039,14033,14057,14080,14070,14071,14056.0,13990.0,13936.0,13807.0,13693.0,13567.0,13484.0,11032.0,29181,72.22339,753.9751972019938,0.001636195489791563,-0.11177567715098599,0.671099572547728,-0.11648326389804277,-0.004707586747056777,Medium,2,-0.782875249698714,Low,1,8
1486,"St. Charles, MO",29183,283883,294908,303224,311405,319729,328892,337952,345395,351179,356902,350606,356070,360695,365101,369781.0,374805.0,379856.0,385115.0,389985.0,394290.0,398472.0,402377.0,29183,0.69798,9.796662511694745,0.015584445217708767,-0.13905460895553062,-0.6187102153505384,0.5410030584777066,0.6800576674332373,Extremely High,4,0.47965560639500776,Extremely High,4,13
1487,"St. Clair, MO",29185,9652,9656,9692,9656,9711,9733,9694,9802,9757,9708,9757,9748,9693,9649,9609.0,9520.0,9444.0,9396.0,9383.0,9370.0,9455.0,9235.0,29185,2.79303,177.9005145222176,-0.0009224146766424106,-0.1382555820631701,-0.32735272034188734,-0.23708987917500313,-0.09883429711183303,Medium,2,0.18909713827871724,Medium,2,7
1488,"Ste. Genevieve, MO",29186,17842,18013,18039,18161,18218,18233,18263,18293,18186,18156,18205,18179,18066,17996,18017.0,17990.0,17937.0,17882.0,17871.0,17848.0,17887.0,18406.0,29186,0.33166,2.13329465435978,-0.0014281790716836034,-0.13919431900121423,-0.6319923599030807,-0.26093037375825323,-0.121736054757039,Medium,2,0.4927980409018664,Extremely High,4,5
1489,"St. Francois, MO",29187,55641,56242,56823,58118,60829,62298,62917,63636,64280,64864,64239,64771,65246,65602,65813.0,66010.0,66230.0,66248.0,66342.0,66643.0,66653.0,67168.0,29187,0.0,9.88928722299545,0.008281573498964804,-0.13932081013943065,-0.6185496782567258,0.19676357590458973,0.33608438604402036,Extremely High,4,0.47922886811729515,Extremely High,4,13
1490,"St. Louis, MO",29189,1016315,1016243,1014359,1011678,1007813,1004109,1002050,999389,998331,998618,999454,998760,999147,999725,1000423.0,1001327.0,1000560.0,999539.0,998684.0,996919.0,996179.0,1001982.0,29189,293.15211999999997,467.7147316100681,-0.000694379131005529,-0.027516114579661372,0.17495310607857936,-0.22634084218496,-0.19882472760529862,Medium,2,-0.20246922065824074,Low,1,8
1491,"Saline, MO",29195,23756,23399,22960,22896,23058,23053,23008,23029,22967,23221,23126,23178,23232,23324,23363.0,23334.0,23214.0,23010.0,23102.0,22976.0,22932.0,23278.0,29195,11.98706,157.08099538598174,0.002248551413992908,-0.1347490895120762,-0.36343709836338944,-0.08761830575334333,0.04713078375873288,High,3,0.22868800885131324,High,3,10
1492,"Schuyler, MO",29197,4170,4184,4245,4264,4313,4280,4267,4313,4383,4414,4361,4386,4397,4397,4388.0,4395.0,4396.0,4450.0,4502.0,4555.0,4550.0,4094.0,29197,0.0,52.699184678422114,0.005732630130703967,-0.13932081013943065,-0.5443515897833602,0.07661262981222125,0.2159334399516519,High,3,0.40503077964392953,Extremely High,4,9
1493,"Scotland, MO",29199,4983,4956,4877,4879,4838,4793,4823,4830,4818,4842,4831,4831,4843,4859,4862.0,4873.0,4893.0,4883.0,4898.0,4902.0,4923.0,4760.0,29199,104.32029,209.71309779152168,0.0,-0.099534305221244,-0.27221517018914987,-0.19360951100829443,-0.09407520578705043,Medium,2,0.17268086496790586,Medium,2,7
1494,"Scott, MO",29201,40422,40206,39885,39850,39704,39719,39626,39509,39293,39185,39370,39268,39192,39216,39137.0,39061.0,38994.0,38858.0,38729.0,38633.0,38538.0,38161.0,29201,54.50863,1321.554419884456,-0.0025908051816103633,-0.11853187372467743,1.6548275392891914,-0.3157337204307617,-0.19720184670608426,Medium,2,-1.7733594130138688,Low,1,8
1495,"Shannon, MO",29203,8324,8303,8273,8213,8254,8300,8313,8402,8420,8446,8404,8428,8407,8388,8360.0,8317.0,8256.0,8273.0,8246.0,8217.0,8207.0,7185.0,29203,151.69973000000002,69.28940428734766,0.0028557829604950024,-0.08146435619617005,-0.5155974311541017,-0.0589948982199153,0.022469457976254756,Medium,2,0.4341330749579317,Extremely High,4,5
1496,"Stoddard, MO",29207,29705,29772,29976,29908,30064,30240,30314,30253,30062,29821,30089,29992,29902,29860,29864.0,29837.0,29788.0,29634.0,29512.0,29377.0,29255.0,28812.0,29207,181.46668,1191.4546727255665,-0.0032237694838645353,-0.07011159919583565,1.4293387359088852,-0.34557010703138874,-0.2754585078355531,Low,1,-1.4994503351047208,Low,1,4
1497,"Stone, MO",29209,28658,28841,29347,30044,30542,30800,31546,31966,32119,32214,32003,32154,31968,31817,31593.0,31375.0,31197.0,31529.0,31527.0,31615.0,31875.0,31018.0,29209,479.53366,624.4766480764351,0.004718307658657001,0.043567564902721234,0.4466527652365209,0.028799953321747906,-0.014767611580973328,Medium,2,-0.4030852003337997,Low,1,8
1498,"Sullivan, MO",29211,7219,7237,7247,7042,6925,6840,6783,6706,6736,6689,6728,6702,6667,6611,6551.0,6512.0,6416.0,6382.0,6317.0,6247.0,6163.0,6045.0,29211,6.42273,162.61106858895693,-0.0038644470868014267,-0.13687125810374148,-0.3538523788203033,-0.3757700797305001,-0.2388988216267586,Low,1,0.2169811207165618,High,3,2
1499,"Taney, MO",29213,39703,40609,41554,42447,43381,44635,46200,48020,49711,50794,49324,50631,51596,52412,53086.0,53555.0,53853.0,54308.0,54720.0,55114.0,55563.0,55854.0,29213,333.64145,392.82729514360244,0.026498256426891575,-0.012073970705453541,0.04515824632055831,1.055453382712067,1.0675273534175205,Extremely High,4,-0.05723221702601185,Medium,2,15
1500,"Texas, MO",29215,23003,24174,24464,24388,24845,24961,25385,25490,25597,25790,25662,25773,25840,25830,25796.0,25735.0,25690.0,25714.0,25671.0,25604.0,25518.0,24866.0,29215,52.84525,37.40973874516143,0.0043254617722702825,-0.11916626686670964,-0.5708512482617762,0.010282160613758168,0.1294484274804678,High,3,0.45168498139506663,Extremely High,4,9
1501,"Vernon, MO",29217,20454,20514,20454,20481,20620,20722,20715,20746,20891,21071,20917,20959,20958,20990,20984.0,20878.0,20836.0,20665.0,20691.0,20595.0,20560.0,19831.0,29217,4.06556,72.05898024183378,0.0020079361285079123,-0.13777025441402782,-0.510797203778677,-0.09896032086254256,0.038809933551485265,High,3,0.3730269493646492,High,3,10
1502,"Wayne, MO",29223,13259,13368,13318,13435,13394,13514,13429,13356,13397,13486,13433,13448,13444,13437,13430.0,13397.0,13341.0,13369.0,13308.0,13195.0,13058.0,11298.0,29223,2015.5074,1380.3607247015475,0.0011166530186853272,0.6293694904985525,1.7567505913626826,-0.14097322323408454,-0.7703427137326371,Low,1,-1.1273811008641301,Low,1,4
1503,"Webster, MO",29225,31045,31863,32299,32680,33394,34005,34692,35477,35938,35997,35678,36027,36183,36274,36461.0,36690.0,37075.0,37558.0,38082.0,38655.0,39127.0,38978.0,29225,24.26645,465.959169019976,0.009781938449464657,-0.13006587773585,0.17191036605529833,0.2674871041442095,0.3975529818800595,Extremely High,4,-0.3019762437911483,Low,1,16
1504,"Wright, MO",29229,17955,17963,18147,18217,18226,18489,18554,18713,18904,18633,18731,18764,18732,18643,18565.0,18449.0,18378.0,18304.0,18293.0,18203.0,18256.0,18244.0,29229,48.15132,230.71245989984638,0.0017617852757460895,-0.12095647535856319,-0.23581908843679314,-0.11056326905238631,0.010393206306176878,Medium,2,0.11486261307822995,Medium,2,7
1505,"St. Louis city, MO",29510,348189,343243,338457,334893,330988,324945,320131,317959,317955,318842,318809,318367,318527,318955,318727.0,317850.0,316030.0,314867.0,311273.0,308174.0,304709.0,302787.0,29510,0.37652,94.89654859740104,-0.0013864100448858093,-0.13917720993632735,-0.4712151440662654,-0.2589614841588987,-0.11978427422257135,Medium,2,0.3320379341299381,High,3,6
1506,"Big Horn, MT",30003,12671,12783,12713,12652,12731,12634,12540,12549,12564,12747,12663,12776,12872,12939,13079.0,13141.0,13214.0,13290.0,13376.0,13387.0,13302.0,13198.0,30003,357.06821,289.8455157313216,0.008923635789307431,-0.003139285976747568,-0.1333297117020658,0.22702881937586222,0.2301681053526098,High,3,0.13019042572531825,Medium,2,11
1507,"Carbon, MT",30009,9552,9665,9714,9747,9796,9921,9916,9973,9965,10033,9994,10016,10057,10126,10189.0,10268.0,10340.0,10466.0,10546.0,10597.0,10689.0,10488.0,30009,186.7138,633.5069521461405,0.0022013207924754855,-0.06811041068604225,0.46230408280865537,-0.0898446415482107,-0.021734230862168455,Medium,2,-0.5304144934946976,Low,1,8
1508,"Carter, MT",30011,1360,1337,1319,1290,1284,1258,1227,1216,1172,1180,1289,1266,1276,1241,1205.0,1227.0,1295.0,1320.0,1318.0,1331.0,1305.0,1349.0,30011,326.52668,210.79673871368846,-0.017843289371605897,-0.014787458480427784,-0.2703370043958306,-1.0346984602936378,-1.01991100181321,Low,1,0.2555495459154028,High,3,2
1509,"Custer, MT",30017,11696,11484,11510,11438,11510,11423,11395,11480,11515,11646,11548,11621,11706,11785,11869.0,11945.0,11980.0,11895.0,11845.0,11729.0,11563.0,11968.0,30017,134.57485,374.42436595193,0.006321440942154486,-0.0879955796268503,0.013262300534785176,0.10436772902161079,0.19236330864846107,High,3,-0.10125788016163548,Medium,2,11
1510,"Daniels, MT",30019,2017,1999,1912,1881,1804,1782,1748,1702,1704,1732,1649,1721,1734,1778,1813.0,1758.0,1787.0,1788.0,1753.0,1730.0,1705.0,1739.0,30019,27.60218,106.23799882749395,0.043662825955124315,-0.12879367040158413,-0.4515581493615973,1.8645491412783122,1.9933428116798964,Extremely High,4,0.3227644789600132,High,3,14
1511,"Deer Lodge, MT",30023,9417,9303,9238,9189,9274,9274,9180,9264,9351,9260,9270,9294,9277,9285,9243.0,9211.0,9176.0,9131.0,9100.0,9106.0,9153.0,9380.0,30023,0.25214000000000003,8.308727863458326,0.0025889967637540453,-0.13922464697356837,-0.6212891027862624,-0.07157054597339278,0.06765410100017559,High,3,0.48206445581269397,Extremely High,4,9
1512,"Fallon, MT",30025,2837,2741,2725,2769,2773,2712,2722,2768,2807,2882,2813,2861,3051,3085,3028.0,3057.0,2913.0,2925.0,2838.0,2921.0,2975.0,3074.0,30025,148.93815,184.4471463744774,0.017063633131887666,-0.08251758962038663,-0.31600610196041884,0.6107283531037129,0.6932459427240996,Extremely High,4,0.2334885123400322,High,3,14
1513,"Fergus, MT",30027,11893,11736,11666,11565,11546,11444,11501,11463,11448,11571,11513,11516,11507,11517,11496.0,11468.0,11429.0,11327.0,11273.0,11221.0,11167.0,11464.0,30027,12.66842,131.74796169605528,0.00026057500217145836,-0.1344892269964423,-0.40734429708959535,-0.18132664375091648,-0.04683741675447417,Medium,2,0.272855070093153,High,3,6
1514,"Flathead, MT",30029,74471,76171,77583,79643,81247,83320,85759,88245,90260,90910,89215,90317,90967,91536,92373.0,93333.0,94696.0,96147.0,98082.0,99899.0,102001.0,103400.0,30029,1.01283,187.77760255069506,0.012352182928879673,-0.138934528949297,-0.310233757322664,0.38864213243387663,0.5275766613831736,Extremely High,4,0.171299228373367,Medium,2,15
1515,"Gallatin, MT",30031,67831,70120,71824,74504,77124,80310,83984,86620,88932,89187,87676,89146,90339,91499,93108.0,95323.0,97958.0,100733.0,104729.0,108063.0,111401.0,116725.0,30031,804.96984,64.77169503515624,0.01676627583375154,0.1676850129670036,-0.5234275221077196,0.596711658522184,0.4290266455551804,Extremely High,4,0.6911125350747231,Extremely High,4,13
1516,"Garfield, MT",30033,1279,1269,1258,1254,1236,1202,1233,1234,1205,1240,1224,1162,1100,1145,1097.0,1047.0,1061.0,1086.0,1141.0,1036.0,1051.0,972.0,30033,51.69124,55.46876063290822,-0.05065359477124183,-0.1196063924121873,-0.5395513624079353,-2.5812958796139376,-2.4616894872017503,Low,1,0.41994496999574804,Extremely High,4,1
1517,"Glacier, MT",30035,13247,13098,13101,13168,13388,13264,13250,13179,13109,13266,13251,13329,13422,13528,13641.0,13672.0,13695.0,13677.0,13699.0,13732.0,13706.0,13827.0,30035,0.0,2.769575954486109,0.005886348200135839,-0.13932081013943065,-0.6308895575371118,0.08385852303358915,0.2231793331730198,High,3,0.4915687473976812,Extremely High,4,9
1518,"Golden Valley, MT",30037,1042,992,1012,981,1001,1014,973,964,890,897,810,873,769,709,738.0,756.0,730.0,747.0,724.0,728.0,814.0,820.0,30037,69.36263,237.1463310528995,0.07777777777777778,-0.11286673663528911,-0.2246679068312423,3.472644396915209,3.585511133550498,Extremely High,4,0.11180117019595319,Medium,2,15
1519,"Granite, MT",30039,2830,2905,2919,2931,2943,3009,3013,3039,3031,3057,3044,3055,3083,3105,3133.0,3168.0,3212.0,3206.0,3269.0,3311.0,3325.0,3333.0,30039,2.1318900000000003,35.91003579477464,0.0036136662286465177,-0.13850773291380145,-0.5734505325116958,-0.02327013758778249,0.11523759532601896,High,3,0.4349427995978943,Extremely High,4,9
1520,"Judith Basin, MT",30045,2329,2266,2246,2201,2196,2161,2146,2083,2071,2076,1967,2061,2052,2043,2023.0,1997.0,1981.0,1965.0,1951.0,1954.0,1968.0,2004.0,30045,28.73008,131.74796169605528,0.04778851042196238,-0.12836350289632487,-0.40734429708959535,2.0590238001277967,2.1873873030241215,Extremely High,4,0.2789807941932705,High,3,14
1521,"Lake, MT",30047,26507,26810,26814,27117,27634,28023,28283,28235,28515,28668,28493,28628,28794,28905,28987.0,29157.0,29311.0,29518.0,29774.0,30013.0,30383.0,31030.0,30047,1.13496,145.4946595905156,0.004738005825992349,-0.13888795003501622,-0.3835185285823994,0.029728476674246992,0.16861642670926322,High,3,0.24463057854738315,High,3,10
1522,"Lincoln, MT",30053,18837,18646,18669,18861,18991,19180,19228,19440,19541,19657,19507,19574,19594,19581,19455.0,19337.0,19268.0,19249.0,19358.0,19537.0,19845.0,19674.0,30053,1.04203,6.790867501077481,0.003434664479417645,-0.13892339242021323,-0.6239198574517089,-0.03170784153595318,0.10721555088426005,High,3,0.4849964650314956,Extremely High,4,9
1523,"McCone, MT",30055,1977,1874,1828,1797,1781,1778,1765,1767,1720,1705,1714,1815,1808,1794,1758.0,1728.0,1678.0,1728.0,1630.0,1790.0,1826.0,1805.0,30055,27.798849999999998,380.78987392705403,0.058926487747957994,-0.12871866282710115,0.024294995121543587,2.584040765956587,2.7127594287836883,Extremely High,4,-0.15301365794864474,Low,1,16
1524,"Mineral, MT",30061,3884,3839,3837,3936,3985,4133,4211,4156,4177,4200,4193,4193,4203,4219,4230.0,4238.0,4223.0,4194.0,4211.0,4251.0,4330.0,4490.0,30061,0.18288,2.769575954486109,0.0,-0.13925106190522388,-0.6308895575371118,-0.19360951100829443,-0.054358449103070555,Medium,2,0.491638495631888,Extremely High,4,5
1525,"Missoula, MT",30063,95802,97435,98968,99976,100934,102298,104372,106110,107747,108717,107288,108431,109402,110243,111011.0,111966.0,113101.0,114231.0,115983.0,117309.0,119062.0,117379.0,30063,2.39491,386.7704807204679,0.010653567966594587,-0.13840742024669153,0.0346605792120956,0.308573584302712,0.4469810045494035,Extremely High,4,-0.17306799945878715,Low,1,16
1526,"Musselshell, MT",30065,4497,4368,4353,4361,4370,4323,4398,4394,4423,4478,4339,4426,4597,4729,4760.0,4790.0,4778.0,4766.0,4807.0,4766.0,4682.0,4813.0,30065,1473.49897,237.1463310528995,0.02005070292694169,0.4226539889801651,-0.2246679068312423,0.7515315056525896,0.32887751667242454,Extremely High,4,0.6473218958114074,Extremely High,4,13
1527,"Park, MT",30067,15694,15651,15676,15539,15509,15629,15690,15828,15896,15738,15752,15704,15655,15621,15642.0,15708.0,15843.0,16001.0,16246.0,16352.0,16513.0,17072.0,30067,2516.34432,260.3343017863158,-0.0030472320975114273,0.820382672888953,-0.18447852992868818,-0.3372485671120956,-1.1576312400010487,Low,1,1.0048612028176411,Extremely High,4,1
1528,"Petroleum, MT",30069,493,490,506,506,519,492,495,470,481,488,598,568,566,538,489.0,443.0,445.0,453.0,432.0,453.0,464.0,434.0,30069,85.51346,2.769575954486109,-0.05016722408026756,-0.10670700416878814,-0.6308895575371118,-2.5583695567305735,-2.4516625525617854,Low,1,0.5241825533683238,Extremely High,4,1
1529,"Phillips, MT",30071,4601,4498,4383,4317,4295,4228,4166,4193,4182,4242,4206,4227,4203,4205,4194.0,4167.0,4150.0,4139.0,4124.0,4077.0,4032.0,4233.0,30071,88.47023,260.5584969649866,0.004992867332382311,-0.10557932762430243,-0.18408995498011144,0.04174202373715157,0.147321351361454,High,3,0.078510627355809,Medium,2,11
1530,"Pondera, MT",30073,6424,6360,6285,6228,6140,6148,6172,6169,6117,6109,6145,6165,6147,6166,6211.0,6206.0,6166.0,6081.0,6044.0,5994.0,5911.0,5974.0,30073,0.0,2.769575954486109,0.0032546786004882017,-0.13932081013943065,-0.6308895575371118,-0.04019193494733184,0.09912887519209881,High,3,0.4915687473976812,Extremely High,4,9
1531,"Powder River, MT",30075,1858,1814,1834,1837,1789,1739,1794,1761,1756,1738,1659,1656,1639,1669,1710.0,1703.0,1648.0,1610.0,1619.0,1607.0,1634.0,1759.0,30075,297.29487,262.47936474282596,-0.0018083182640144665,-0.02593611951590322,-0.1807607081050364,-0.2788492040367406,-0.2529130845208374,Low,1,0.15482458858913317,Medium,2,3
1532,"Powell, MT",30077,7180,7033,6986,6893,6872,6997,7115,7117,7036,7093,7077,7068,7067,7052,7010.0,6975.0,6928.0,6852.0,6861.0,6854.0,6843.0,6955.0,30077,0.76233,8.308727863458326,-0.001271725307333616,-0.13903006663886827,-0.6212891027862624,-0.2535555265802284,-0.11452545994136012,Medium,2,0.48225903614739407,Extremely High,4,5
1533,"Prairie, MT",30079,1199,1208,1173,1168,1153,1098,1098,1083,1123,1139,1089,1093,1193,1186,1282.0,1372.0,1414.0,1325.0,1342.0,1252.0,1162.0,1227.0,30079,75.47229,151.55092218300655,0.0036730945821854912,-0.11053658573522501,-0.3730218179064756,-0.020468830586877502,0.09006775514834751,High,3,0.2624852321712506,High,3,10
1534,"Ravalli, MT",30081,36070,36683,37308,38184,38739,39012,39555,40023,40223,39956,40013,40199,40311,40423,40640.0,40823.0,41130.0,41387.0,41902.0,42512.0,43424.0,43790.0,30081,12.73221,40.8199230561117,0.004648489240996676,-0.1344648982570501,-0.5649407188689454,0.025508884151276744,0.15997378240832685,High,3,0.43047582061189527,Extremely High,4,9
1535,"Richland, MT",30083,9667,9424,9286,9195,9096,9207,9267,9356,9430,9679,9498,9669,9961,10318,10686.0,11132.0,11392.0,11405.0,11360.0,11199.0,11097.0,11375.0,30083,87.85452,102.18143378031766,0.018003790271636132,-0.10581415201889698,-0.45858898545695903,0.6550450575165486,0.7608592095354456,Extremely High,4,0.35277483343806204,High,3,14
1536,"Roosevelt, MT",30085,10620,10558,10389,10344,10459,10437,10285,10166,10129,10334,10273,10323,10477,10665,10861.0,11072.0,11230.0,11218.0,11228.0,11175.0,11091.0,10884.0,30085,37.54324,203.31744003409938,0.004867127421395892,-0.12500226958605734,-0.28330012036041996,0.035814952365261284,0.16081722195131862,High,3,0.15829785077436262,Medium,2,11
1537,"Rosebud, MT",30087,9383,9248,9196,9210,9136,9131,9057,9089,9095,9174,9134,9200,9261,9310,9335.0,9352.0,9348.0,9292.0,9250.0,9152.0,9065.0,8464.0,30087,44.86471,263.49592339211057,0.00722574994525947,-0.12220994891513748,-0.17899880926665404,0.14699464009223434,0.2692045890073718,High,3,0.05678886035151656,Medium,2,11
1538,"Sanders, MT",30089,10227,10489,10466,10554,10895,11002,11178,11364,11433,11471,11366,11421,11421,11400,11373.0,11346.0,11375.0,11414.0,11521.0,11681.0,11804.0,12298.0,30089,4.76539,76.29323436812938,0.004838993489354214,-0.13750334766236047,-0.5034583970784575,0.03448878773006485,0.1719921353924253,High,3,0.365955049416097,High,3,10
1539,"Sheridan, MT",30091,4105,3952,3825,3697,3683,3573,3507,3469,3385,3387,3505,3426,3447,3473,3510.0,3630.0,3645.0,3568.0,3574.0,3483.0,3389.0,3522.0,30091,115.82400000000001,279.0365207759993,-0.02253922967189729,-0.09514692847514414,-0.1520638552453483,-1.2560535821448793,-1.1609066536697352,Low,1,0.05691692677020416,Medium,2,3
1540,"Silver Bow, MT",30093,34606,33882,33636,33474,33416,33414,33441,33489,33812,34008,33797,33985,34164,34322,34462.0,34549.0,34560.0,34514.0,34814.0,34770.0,34895.0,35017.0,30093,0.06846000000000001,8.308727863458326,0.005562623901529722,-0.139294700318161,-0.6212891027862624,0.06859895264260307,0.20789365296076406,High,3,0.4819944024681014,Extremely High,4,9
1541,"Stillwater, MT",30095,8195,8392,8441,8451,8435,8481,8659,8867,8945,9077,8934,9026,9096,9173,9214.0,9288.0,9342.0,9342.0,9410.0,9466.0,9562.0,8916.0,30095,254.37505,289.8455157313216,0.01029773897470338,-0.04230522306726112,-0.1333297117020658,0.29180067731890835,0.3341059003861695,Extremely High,4,0.0910244886348047,Medium,2,15
1542,"Sweet Grass, MT",30097,3609,3594,3617,3591,3676,3675,3697,3778,3755,3731,3717,3702,3661,3640,3622.0,3633.0,3634.0,3646.0,3653.0,3670.0,3676.0,3690.0,30097,1300.9122,210.79673871368846,-0.004035512510088781,0.35683146899465745,-0.2703370043958306,-0.3838336847158439,-0.7406651537105013,Low,1,0.6271684733904881,Extremely High,4,1
1543,"Valley, MT",30105,7675,7587,7512,7427,7422,7367,7272,7332,7415,7349,7345,7392,7423,7465,7518.0,7577.0,7576.0,7561.0,7532.0,7471.0,7424.0,7553.0,30105,283.46713,279.6237769888765,0.006398910823689585,-0.031209853374555323,-0.15104602313105828,0.10801946945492488,0.1392293228294802,High,3,0.11983616975650295,Medium,2,11
1544,"Wibaux, MT",30109,1068,1032,1028,1020,1019,995,984,1014,986,1030,1067,964,899,928,987.0,986.0,1143.0,1121.0,1175.0,1122.0,1037.0,1018.0,30109,92.84576,111.14086943633984,-0.09653233364573571,-0.10391055306601973,-0.44306049697671646,-4.743907238475275,-4.639996685409256,Low,1,0.33914994391069675,High,3,2
1545,"Yellowstone, MT",30111,129352,130801,132165,133715,135441,137623,139582,141518,144255,146465,144050,146151,148191,150156,151965.0,153692.0,155344.0,156332.0,157816.0,159008.0,160390.0,163593.0,30111,267.23757,341.5281417604591,0.014585213467545991,-0.03739961251690438,-0.04375341541127164,0.4939017216482785,0.5313013341651829,Extremely High,4,0.0063538028943672595,Medium,2,15
1546,"Adams, NE",31001,31151,31021,30716,30693,30740,30987,30910,30892,31160,31280,31126,31181,31299,31367,31396.0,31442.0,31536.0,31564.0,31583.0,31587.0,31541.0,31284.0,31001,13.62194,221.852690421138,0.0017670115016385015,-0.1341255659275401,-0.2511748355585723,-0.11031691756679242,0.023808648360747683,Medium,2,0.11704926963103218,Medium,2,7
1547,"Antelope, NE",31003,7452,7242,7229,7172,7063,6994,6836,6767,6704,6739,6742,6697,6655,6600,6531.0,6486.0,6421.0,6406.0,6372.0,6341.0,6315.0,6310.0,31003,725.25305,137.2871136050275,-0.006674577276772471,0.13728198727183874,-0.39774384233874577,-0.508232732754495,-0.6455147200263337,Low,1,0.5350258296105845,Extremely High,4,1
1548,"Arthur, NE",31005,444,423,421,439,433,428,450,457,453,442,426,448,490,507,476.0,448.0,437.0,421.0,418.0,427.0,439.0,472.0,31005,2377.13313,78.60141739559272,0.051643192488262914,0.7672891980184209,-0.49945785564612255,2.2407240697055006,1.4734348716870798,Extremely High,4,1.2667470536645435,Extremely High,4,13
1549,"Banner, NE",31007,819,808,769,763,749,731,733,715,677,686,720,703,778,816,788.0,820.0,793.0,728.0,696.0,722.0,645.0,605.0,31007,0.0,2.769575954486109,-0.02361111111111111,-0.13932081013943065,-0.6308895575371118,-1.306579447342215,-1.1672586372027842,Low,1,0.4915687473976812,Extremely High,4,1
1550,"Blaine, NE",31009,583,564,551,545,515,492,493,463,456,477,539,585,584,586,594.0,551.0,580.0,502.0,480.0,477.0,467.0,346.0,31009,458.41839000000004,58.229257881397295,0.08534322820037106,0.035514454681269236,-0.534766870240274,3.8292611963342194,3.7937467416529502,Extremely High,4,0.5702813249215433,Extremely High,4,13
1551,"Boone, NE",31011,6259,6146,6053,5888,5813,5746,5623,5582,5548,5514,5553,5512,5473,5441,5404.0,5373.0,5353.0,5357.0,5313.0,5279.0,5228.0,5413.0,31011,38.4646,119.2280917172807,-0.00738339636232667,-0.12465087395466656,-0.42904372819258657,-0.5416447280142301,-0.4169938540595636,Low,1,0.30439285423792,High,3,2
1552,"Box Butte, NE",31013,12158,11985,11951,11719,11528,11422,11338,11409,11482,11347,11372,11383,11345,11312,11308.0,11310.0,11279.0,11200.0,11089.0,10970.0,10845.0,10821.0,31013,10.51669,70.30176823813143,0.0009672880759760816,-0.13530987095964075,-0.5138428025646334,-0.14801392072584293,-0.01270404976620218,Medium,2,0.3785329316049927,High,3,6
1553,"Boyd, NE",31015,2438,2390,2352,2304,2246,2219,2143,2109,2102,2075,2107,2095,2025,2093,2067.0,2039.0,2006.0,2049.0,2042.0,1937.0,1882.0,1812.0,31015,105.89708,79.04877701763317,-0.005695301376364499,-0.09893293646460088,-0.4986824922187719,-0.46207206579556026,-0.3631391293309594,Low,1,0.39974955575417104,High,3,2
1554,"Brown, NE",31017,3525,3510,3497,3478,3441,3329,3319,3225,3149,3115,3192,3153,3183,3167,3090.0,3078.0,3022.0,3058.0,2988.0,3015.0,2887.0,2752.0,31017,367.75084,282.85152425702137,-0.012218045112781954,0.0009349407248285752,-0.1454516935108849,-0.7695382264044408,-0.7704731671292694,Low,1,0.1463866342357135,Medium,2,3
1555,"Buffalo, NE",31019,42259,42418,42949,43251,43753,44131,44645,45060,45343,45970,45437,45842,46330,46885,47388.0,47958.0,48402.0,48834.0,49030.0,49209.0,49594.0,49840.0,31019,319.32932,280.0819483025353,0.008913440588066994,-0.017532445088861866,-0.15025192088630962,0.226548242565136,0.24408068765399787,High,3,0.13271947579744775,Medium,2,11
1556,"Burt, NE",31021,7791,7659,7486,7366,7399,7225,7122,6999,6967,6885,6964,6901,6829,6748,6690.0,6647.0,6594.0,6546.0,6528.0,6510.0,6503.0,6705.0,31021,223.01906,2633.942675271821,-0.009046524985640436,-0.05426402082702206,3.9294580727079076,-0.6200405370591328,-0.5657765162321107,Low,1,-3.98372209353493,Low,1,4
1557,"Butler, NE",31023,8767,8878,8817,8716,8631,8479,8396,8375,8355,8387,8382,8360,8345,8334,8312.0,8256.0,8205.0,8105.0,8067.0,8029.0,7997.0,8354.0,31023,2.71871,131.74796169605528,-0.0026246719160104987,-0.13828392681801616,-0.40734429708959535,-0.3173301153251731,-0.17904618850715692,Medium,2,0.2690603702715792,High,3,6
1558,"Cass, NE",31025,24334,24460,24602,24868,25074,25170,25240,25256,25322,25122,25246,25230,25214,25222,25315.0,25360.0,25463.0,25513.0,25702.0,25888.0,26022.0,26546.0,31025,87.64329000000001,6480.983156796635,-0.0006337637645567615,-0.10589471260240252,10.597146317137794,-0.22348358230337848,-0.11758886970097596,Medium,2,-10.703041029740197,Low,1,8
